TurId;Dato;Fylke;Område;Kommune;Holdeplass_Fra;Holdeplass_Til;Linjetype;Linjefylke;Linjenavn;Linjeretning;Tidspunkt_Faktisk_Ankomst_Holdeplass_Fra;Tidspunkt_Faktisk_Avgang_Holdeplass_Fra;Tidspunkt_Planlagt_Ankomst_Holdeplass_Fra;Tidspunkt_Planlagt_Avgang_Holdeplass_Fra;Kjøretøy_Kapasitet;Passasjerer_Ombord
47011-2020-06-11T12:30:00+02:00;11/06/2020;Viken;Nordøst;Lillestrøm;Kjerulfs gate;St. Olavs gate;Lokal;Viken;480;1;12:33:17;12:33:37;12:32:00;12:32:00;106;4
12004-2020-07-29T22:15:00+02:00;29/07/2020;Viken;Nordøst;Rælingen;Fjerdingby (Plattform 2);Fjerdingby skole;Lokal;Viken;310;0;23:04:35;23:15:48;22:15:00;22:15:00;72;1
34004-2020-06-30T05:01:00+02:00;30/06/2020;Viken;Nordøst;Lillestrøm;Vestbygata;Bjørnsons gate;Lokal;Viken;340;0;05:29:35;05:29:41;05:27:00;05:27:00;105;5
47005-2020-07-01T13:13:00+02:00;01/07/2020;Viken;Nordøst;Aurskog-Høland;Tunsjøen;Stigen;Lokal;Viken;480;0;13:45:45;13:45:47;13:45:00;13:45:00;106;13
10002-2020-07-22T08:30:00+02:00;22/07/2020;Oslo;Indre By;Gamle Oslo;Oslo bussterminal (Plf B10);Oslo gate  (mot Galgeberg);Lokal;Viken;100;1;08:15:00;08:25:43;08:30:00;08:30:00;151;0
6003-2020-06-03T13:55:00+02:00;03/06/2020;Oslo;Indre By;Gamle Oslo;Kampen park  (mot Tøyen);Kampen   (mot Tøyen);Lokal;Oslo;60;1;14:20:06;14:20:36;14:19:00;14:19:00;33;3
12010-2020-08-08T19:15:00+02:00;08/08/2020;Viken;Nordøst;Lørenskog;Vallerudlia;Vallerudtoppen;Lokal;Viken;310;0;19:48:00;19:48:10;19:46:00;19:46:00;72;-1
6005-2020-07-03T07:10:00+02:00;03/07/2020;Oslo;Nordøst;Bjerke;Linderud senter  (mot Erich Mogensøns vei);Veitvetstubben  (mot Linderud T);Lokal;Oslo;60;1;07:11:57;07:12:05;07:12:00;07:12:00;77;2
6003-2020-07-08T07:55:00+02:00;08/07/2020;Oslo;Nordøst;Bjerke;Økernbråten  (i Brobekkveien);Øvre Risløkka  (mot Kroklia);Lokal;Oslo;60;1;08:02:10;08:02:16;08:01:00;08:01:00;33;1
6002-2020-06-09T06:32:00+02:00;09/06/2020;Oslo;Nordøst;Bjerke;Kroklia  (mot Økernbråten);Øvre Risløkka  (mot Refstadveien);Lokal;Oslo;60;0;07:06:59;07:07:07;07:12:00;07:12:00;33;0
40008-2020-07-20T15:55:00+02:00;20/07/2020;Viken;Nordøst;Nannestad;Damvegen;Slattumhagen;Lokal;Viken;410;0;16:11:48;16:11:52;16:10:00;16:10:00;106;0
47002-2020-06-14T18:00:00+02:00;14/06/2020;Viken;Nordøst;Aurskog-Høland;Aurskog meieri;Halvorsrud;Lokal;Viken;470;1;18:41:56;18:41:58;18:39:00;18:39:00;106;9
40041-2020-08-18T18:25:00+02:00;18/08/2020;Viken;Nordøst;Nannestad;Gutugropa;Gamle Eltonveg;Lokal;Viken;410;1;18:35:47;18:35:53;18:34:00;18:34:00;106;0
27055-2020-07-14T07:55:00+02:00;14/07/2020;Viken;Vest;Asker;Blakstad bussterminal (Plattform 3);Blakstad hageby;Lokal;Viken;290;1;07:43:30;07:55:40;07:55:00;07:55:00;80;1
36504-2020-06-26T14:51:00+02:00;26/06/2020;Viken;Nordøst;Lillestrøm;Yssen;Drege;Lokal;Viken;365;0;15:09:27;15:09:30;15:09:00;15:09:00;75;6
40004-2020-07-07T07:25:00+02:00;07/07/2020;Viken;Nordøst;Nannestad;Evangeliehuset;Damvegen;Lokal;Viken;410;0;07:42:22;07:42:26;07:40:00;07:40:00;106;0
36507-2020-08-18T06:21:00+02:00;18/08/2020;Viken;Nordøst;Lillestrøm;Yssen;Drege;Lokal;Viken;365;0;06:38:48;06:38:50;06:39:00;06:39:00;75;5
40022-2020-08-25T05:55:00+02:00;25/08/2020;Viken;Nordøst;Nannestad;Damvegen;Slattumhagen;Lokal;Viken;410;0;06:11:45;06:11:49;06:10:00;06:10:00;106;1
27058-2020-08-19T08:35:00+02:00;19/08/2020;Viken;Vest;Asker;Jørgens vei (Gullhella);Eid;Lokal;Viken;285;1;08:51:55;08:52:00;08:51:00;08:51:00;70;-1
42501-2020-06-17T04:08:00+02:00;17/06/2020;Viken;Nordøst;Lillestrøm;Bjørkemoen;Fløgstad gård;Lokal;Viken;425;0;04:13:39;04:13:42;04:13:00;04:13:00;80;0
44107-2020-08-27T13:00:00+02:00;27/08/2020;Viken;Nordøst;Hurdal;Haraldvangen;Åsanden;Lokal;Viken;445;1;13:19:55;13:20:23;13:17:00;13:17:00;80;8
42501-2020-06-21T04:08:00+02:00;21/06/2020;Viken;Nordøst;Lillestrøm;Frogner stasjon;Frogner sentrum;Lokal;Viken;425;0;04:05:40;04:08:52;04:08:00;04:08:00;80;0
42501-2020-06-27T06:08:00+02:00;27/06/2020;Viken;Nordøst;Ullensaker;Åreppen skole;Holum;Lokal;Viken;425;0;06:20:30;06:20:36;06:20:00;06:20:00;80;2
44107-2020-06-03T13:00:00+02:00;03/06/2020;Viken;Nordøst;Hurdal;Hurdalsentret;Haraldvangen;Lokal;Viken;445;1;13:18:35;13:18:40;13:17:00;13:17:00;80;9
40008-2020-08-27T07:37:00+02:00;27/08/2020;Viken;Nordøst;Gjerdrum;Kniplia;Fjellgrinna;Ekspress;Viken;400E;0;07:50:43;07:51:07;07:50:00;07:50:00;106;5
40002-2020-08-26T22:51:00+02:00;26/08/2020;Viken;Nordøst;Gjerdrum;Eikeberg (I Gjerdrum);Skei;Lokal;Viken;410;1;22:54:56;22:55:00;22:53:00;22:53:00;106;-1
36517-2020-06-20T14:21:00+02:00;20/06/2020;Viken;Nordøst;Lillestrøm;Frogner sentrum;Søndre Berger (PON);Lokal;Viken;365;0;14:43:18;14:43:23;14:42:00;14:42:00;75;0
36504-2020-07-03T23:58:00+02:00;03/07/2020;Viken;Nordøst;Lillestrøm;Sørum skole;Valsporten;Lokal;Viken;365;1;24:27:26;24:27:30;24:28:00;24:28:00;75;0
40001-2020-06-13T16:51:00+02:00;13/06/2020;Viken;Nordøst;Nannestad;Kringler gamle skole;Kringler syd;Lokal;Viken;410;1;17:29:31;17:29:33;17:26:00;17:26:00;106;30
55010-2020-06-20T16:30:00+02:00;20/06/2020;Viken;Sør;Enebakk;Hagen;Fløtten;Lokal;Viken;350;0;17:14:36;17:14:40;17:09:00;17:09:00;80;-1
12004-2020-06-20T23:08:00+02:00;20/06/2020;Viken;Nordøst;Lørenskog;Rasta senter;Røykås nordre;Lokal;Viken;315;0;23:26:38;23:27:04;23:25:00;23:25:00;72;3
55004-2020-07-09T08:30:00+02:00;09/07/2020;Viken;Sør;Enebakk;Fredheimveien;Hagenveien;Lokal;Viken;350;0;09:04:25;09:04:31;09:04:00;09:04:00;80;4
55006-2020-07-19T16:30:00+02:00;19/07/2020;Viken;Sør;Enebakk;Enebakk kirke (Plattform 1);Løkengarasjen;Lokal;Viken;350;1;16:15:01;16:30:45;16:30:00;16:30:00;80;0
55006-2020-07-07T08:00:00+02:00;07/07/2020;Viken;Sør;Enebakk;Vaslestad;Linås;Lokal;Viken;350;1;08:05:23;08:05:27;08:05:00;08:05:00;80;0
3410-2020-08-03T08:49:00+02:00;03/08/2020;Oslo;Indre By;St.Hanshaugen;Hammersborggata (i Calmeyers gate mot sør);Jernbanetorget (Plf. A – ved apoteket);Lokal;Oslo;34;0;09:03:44;09:04:24;09:04:00;09:04:00;106;-3
12009-2020-08-09T20:21:00+02:00;09/08/2020;Viken;Nordøst;Lørenskog;Haralds vei;Lørenskog sentrum (Skårersletta) (plf A);Lokal;Viken;120;1;20:41:05;20:41:17;20:39:00;20:39:00;72;8
12011-2020-06-27T11:21:00+02:00;27/06/2020;Oslo;Nordøst;Stovner;Johnny Svorkmos vei  (mot Stovnerbakken);Stovnerfaret  (fra Stovner T);Lokal;Viken;120;1;11:30:14;11:30:20;11:30:00;11:30:00;72;2
12002-2020-07-03T00:28:00+02:00;02/07/2020;Viken;Nordøst;Lørenskog;Lindeveien;Postterminalen øst;Lokal;Viken;120;0;24:43:16;24:43:22;24:43:00;24:43:00;72;-4
12502-2020-08-27T14:28:00+02:00;27/08/2020;Viken;Nordøst;Lørenskog;Postterminalen øst;Lørenskog stasjon  (mot Stovner);Lokal;Viken;120;0;14:43:44;14:44:10;14:43:00;14:43:00;76;5
12004-2020-07-03T08:58:00+02:00;03/07/2020;Viken;Nordøst;Lørenskog;Lørenskog stasjon  (mot Stovner);Stovner bru  (mot Stovner T);Lokal;Viken;120;0;09:15:02;09:17:19;09:16:00;09:16:00;72;5
55006-2020-07-16T20:00:00+02:00;16/07/2020;Viken;Sør;Enebakk;Gjeddevannsveien;Bjerke;Lokal;Viken;350;0;20:35:28;20:35:34;20:32:00;20:32:00;80;-10
55004-2020-06-20T22:00:00+02:00;20/06/2020;Viken;Nordøst;Rælingen;Grinitajet;Jahr;Lokal;Viken;350;1;22:31:42;22:31:45;22:34:00;22:34:00;80;6
55005-2020-08-02T15:30:00+02:00;02/08/2020;Viken;Sør;Enebakk;Sundby;Stranden skole;Lokal;Viken;350;0;16:08:08;16:08:11;16:06:00;16:06:00;80;2
12009-2020-08-08T10:58:00+02:00;08/08/2020;Oslo;Nordøst;Stovner;Stovner T (i Fossumveien);Tokeruddalen  (mot Grorud);Lokal;Viken;120;0;11:25:22;11:26:00;11:23:00;11:23:00;115;9
12002-2020-08-03T22:21:00+02:00;03/08/2020;Oslo;Nordøst;Stovner;Rommen  (mot Stovner);Tokeruddalen  (mot Stovner);Lokal;Viken;120;1;22:25:55;22:26:23;22:24:00;22:24:00;72;4
12002-2020-08-11T19:28:00+02:00;11/08/2020;Viken;Nordøst;Lørenskog;Lindeveien;Postterminalen øst;Lokal;Viken;120;0;19:42:54;19:43:18;19:43:00;19:43:00;72;5
55002-2020-06-29T21:00:00+02:00;29/06/2020;Viken;Nordøst;Rælingen;Ramstad;Jahr;Lokal;Viken;350;0;21:19:18;21:19:22;21:16:00;21:16:00;80;17
12011-2020-08-11T12:28:00+02:00;11/08/2020;Viken;Nordøst;Lørenskog;Bergerveien;Løkenåsfaret;Lokal;Viken;120;0;12:32:17;12:32:24;12:31:00;12:31:00;72;0
24004-2020-08-05T18:22:00+02:00;05/08/2020;Viken;Vest;Bærum;Tangen;Kirkerud;Lokal;Viken;240;1;18:32:28;18:32:35;18:31:00;18:31:00;69;5
44002-2020-06-28T08:31:00+02:00;28/06/2020;Viken;Nordøst;Nes;Idrettsveien (mot Jessheim);Grinderveien (mot Jessheim);Lokal;Viken;440;0;08:31:28;08:31:32;08:31:00;08:31:00;106;1
30009-2020-07-18T15:55:00+02:00;18/07/2020;Viken;Nordøst;Lillestrøm;Frydenlundsgata;Sagdalen skole;Lokal;Viken;110;1;16:39:14;16:39:47;16:39:00;16:39:00;106;-2
44003-2020-06-15T21:39:00+02:00;15/06/2020;Viken;Nordøst;Ullensaker;Meisrudbekken;Yttervegen;Lokal;Viken;440;0;21:52:34;21:52:36;21:51:00;21:51:00;106;2
44003-2020-08-10T23:39:00+02:00;10/08/2020;Viken;Nordøst;Ullensaker;Nordkisa;Nordkisa syd;Lokal;Viken;440;0;23:42:15;23:42:21;23:41:00;23:41:00;106;0
26113-2020-07-17T17:43:00+02:00;17/07/2020;Viken;Vest;Asker;Selvik hyttefelt;Småskjær;Lokal;Viken;251;1;18:02:33;18:02:36;18:02:00;18:02:00;112;2
30004-2020-08-16T06:46:00+02:00;16/08/2020;Viken;Nordøst;Lørenskog;Røykåsveien;Rasta senter;Lokal;Viken;110;1;07:09:12;07:09:17;07:08:00;07:08:00;106;2
44003-2020-06-04T05:09:00+02:00;04/06/2020;Viken;Nordøst;Ullensaker;Jessheim skole;Jessheim vgs. (Ringvegen);Lokal;Viken;440;0;05:33:40;05:34:00;05:33:00;05:33:00;106;6
24011-2020-08-07T08:22:00+02:00;07/08/2020;Viken;Vest;Bærum;Arnesenga;Bærums meieri;Lokal;Viken;240;1;08:37:36;08:37:59;08:36:00;08:36:00;112;-4
44002-2020-06-22T09:10:00+02:00;22/06/2020;Viken;Nordøst;Ullensaker;Stokstadvegen;Stubberud;Lokal;Viken;440;1;09:39:29;09:39:33;09:39:00;09:39:00;106;0
49001-2020-06-15T05:07:00+02:00;15/06/2020;Viken;Nordøst;Lillestrøm;Krokedal;Smådal;Ekspress;Viken;490E;0;05:28:13;05:28:17;05:28:00;05:28:00;106;5
44102-2020-07-23T14:31:00+02:00;23/07/2020;Viken;Nordøst;Eidsvoll;Frilset nord;Frilsetåsen;Lokal;Viken;441;1;14:40:35;14:40:37;14:39:00;14:39:00;80;4
44003-2020-06-26T14:09:00+02:00;26/06/2020;Viken;Nordøst;Ullensaker;Hannestad;Tronstuløkka;Lokal;Viken;440;0;14:41:20;14:41:22;14:39:00;14:39:00;106;5
30006-2020-07-25T15:40:00+02:00;25/07/2020;Oslo;Nordøst;Stovner;Karihaugen  (mot Furuset);Folkvangveien  (mot Furuset);Lokal;Viken;110;0;16:12:14;16:12:38;16:12:00;16:12:00;106;6
30014-2020-07-30T17:35:00+02:00;30/07/2020;Viken;Nordøst;Lillestrøm;Sagdalen skole;Sagdalen;Lokal;Viken;110;1;18:21:43;18:21:51;18:19:00;18:19:00;106;9
44003-2020-07-04T13:10:00+02:00;04/07/2020;Viken;Nordøst;Ullensaker;Brudalen;Tronstuløkka;Lokal;Viken;440;1;13:15:08;13:15:11;13:14:00;13:14:00;106;1
44002-2020-07-05T16:31:00+02:00;05/07/2020;Viken;Nordøst;Ullensaker;Rømåa;Stensby;Lokal;Viken;440;0;16:40:10;16:40:13;16:39:00;16:39:00;106;2
44005-2020-06-29T14:40:00+02:00;29/06/2020;Viken;Nordøst;Ullensaker;Rulnes;Holm;Lokal;Viken;440;1;15:04:53;15:04:56;15:01:00;15:01:00;106;4
26123-2020-08-13T14:43:00+02:00;13/08/2020;Viken;Vest;Asker;Gunnaråsen;Bjørndalen;Lokal;Viken;251;1;14:44:51;14:45:01;14:44:00;14:44:00;112;-1
45007-2020-08-01T13:30:00+02:00;01/08/2020;Viken;Nordøst;Ullensaker;Fonbekk;Brennivegen;Lokal;Viken;450;0;13:56:22;13:56:26;13:55:00;13:55:00;106;3
2808-2020-06-03T15:53:00+02:00;03/06/2020;Oslo;Indre By;Grünerløkka;Fougners vei  (mot Hasle);Einars vei  (mot Hasle);Lokal;Oslo;28;0;16:45:05;16:45:12;16:31:00;16:31:00;106;3
3103-2020-06-01T07:14:00+02:00;01/06/2020;Oslo;Indre By;Grünerløkka;Carl Berners plass (buss mot Sinsen) (plf C);Rosenhoff (buss mot Sinsen);Lokal;Oslo;31;0;07:55:05;07:56:17;07:56:00;07:56:00;151;15
21004-2020-07-25T10:47:00+02:00;25/07/2020;Viken;Vest;Bærum;Bærums verk;Verksgata;Lokal;Viken;210;0;11:01:04;11:01:16;10:59:00;10:59:00;112;0
14003-2020-08-30T20:02:00+02:00;30/08/2020;Viken;Vest;Bærum;Terrasseveien;Krokvolden;Lokal;Viken;130;1;20:15:32;20:15:36;20:13:00;20:13:00;130;0
45503-2020-06-22T10:45:00+02:00;22/06/2020;Viken;Nordøst;Nes;Fjukfeltet;Nylænne;Lokal;Viken;455;0;10:48:02;10:48:04;10:47:00;10:47:00;80;2
45007-2020-06-15T13:36:00+02:00;15/06/2020;Viken;Nordøst;Ullensaker;Yttervegen;Meisrudbekken;Lokal;Viken;450;1;14:03:53;14:04:19;13:55:00;13:55:00;106;19
3121-2020-06-29T07:27:00+02:00;29/06/2020;Oslo;Indre By;Sentrum;Hausmanns bru (fra sentrum);Sars gate (fra sentrum);Lokal;Oslo;31;0;08:01:13;08:01:58;08:01:00;08:01:00;151;13
4101-2020-07-22T20:27:00+02:00;22/07/2020;Oslo;Vest;Nordmarka;Wyllerveien (fra sentrum);Bakk (mot Sørkedalen (ny));Lokal;Oslo;41;1;20:44:00;20:44:04;20:35:00;20:35:00;71;1
3120-2020-06-02T14:40:00+02:00;02/06/2020;Oslo;Nordøst;Grorud;Kalbakkveien  (fra Veitvet);Flaen  (mot Grorud);Lokal;Oslo;31;0;15:44:20;15:44:54;15:42:00;15:42:00;151;2
21004-2020-08-22T21:13:00+02:00;22/08/2020;Viken;Vest;Bærum;Hauger  (Bærum) ( fra sentrum);Kolsås (fra sentrum);Lokal;Viken;210;1;21:21:02;21:21:07;21:21:00;21:21:00;112;4
2812-2020-07-01T16:31:00+02:00;01/07/2020;Oslo;Vest;Ullern;Volvat  (mot Majorstuen);Majorstuen  (i Kirkeveien mot Ullevål) (plf D);Lokal;Oslo;28;0;16:48:35;16:48:43;16:48:00;16:48:00;106;0
21005-2020-08-23T21:13:00+02:00;23/08/2020;Viken;Vest;Bærum;Levreveien;Toppåsveien;Lokal;Viken;210;1;21:23:00;21:23:04;21:19:00;21:19:00;112;-1
3105-2020-06-23T05:21:00+02:00;23/06/2020;Viken;Vest;Bærum;Rolfstangen  (mot Lysaker);IT Fornebu  (mot Lysaker);Lokal;Oslo;31;0;05:27:18;05:27:42;05:25:00;05:25:00;151;1
45502-2020-06-05T06:45:00+02:00;05/06/2020;Viken;Nordøst;Nes;Stadionvegen;Nybergvegen;Lokal;Viken;455;0;07:02:05;07:02:07;07:00:00;07:00:00;80;3
